model,channels,params,inference_ms_per_window,checkpoint_path,seed,window_size,stride,split_mode,accuracy,macro_f1,transition_precision,transition_recall,transition_f1,loss,train_size,val_size,test_size,best_val_accuracy,best_val_macro_f1,best_val_transition_precision,best_val_transition_recall,best_val_transition_f1,best_val_loss
transformer,gyro,83842,0.003737400911631994,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/subject_5seed/seed13/transformer_gyro/best.pt,13,128,64,subject,0.9966685174902832,0.9820788887119886,0.9659090909090909,0.9659090909090909,0.9659090909090909,0.0592536893297687,7651,1477,1801,0.994583615436696,0.9715474562231512,1.0,0.8974358974358975,0.9459459459459459,0.20048156464579606
transformer,acc_gyro,84034,0.0039090117206797,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/subject_5seed/seed13/transformer_acc_gyro/best.pt,13,128,64,subject,0.997223764575236,0.9854570648303216,0.946236559139785,1.0,0.9723756906077348,0.012279727337452718,7651,1477,1801,0.998645903859174,0.9932323454482139,0.9871794871794872,0.9871794871794872,0.9871794871794872,0.010098238005328856
mamba3,acc,239378,0.011030236091755796,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/subject_5seed/seed13/mamba3_acc/best.pt,13,128,64,subject,0.9827873403664631,0.91514233125664,0.7714285714285715,0.9204545454545454,0.8393782383419689,0.12469695884693541,7651,1477,1801,0.993906567366283,0.9697287129750027,0.9367088607594937,0.9487179487179487,0.9426751592356688,0.0914180630297175
mamba3,gyro,239378,0.011094983274233527,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/subject_5seed/seed13/mamba3_gyro/best.pt,13,128,64,subject,0.997223764575236,0.98514577920739,0.9662921348314607,0.9772727272727273,0.9717514124293786,0.024823279876854364,7651,1477,1801,0.997291807718348,0.9864646908964279,0.9743589743589743,0.9743589743589743,0.9743589743589743,0.09258594561413316
mamba3,acc_gyro,239762,0.011189439210284036,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/subject_5seed/seed13/mamba3_acc_gyro/best.pt,13,128,64,subject,0.9977790116601888,0.988304435352945,0.9565217391304348,1.0,0.9777777777777777,0.008184588836181042,7651,1477,1801,0.997968855788761,0.9896605554038824,1.0,0.9615384615384616,0.9803921568627451,0.06500192617926502
cnn,acc,75906,0.0019618426813394763,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/subject_5seed/seed42/cnn_acc/best.pt,42,128,64,subject,0.9827893175074184,0.9187221082851387,0.7407407407407407,0.9876543209876543,0.8465608465608465,0.06025612422372892,7626,1618,1685,0.9944375772558715,0.9670765703743396,0.881578947368421,1.0,0.9370629370629371,0.03128401121518534
cnn,gyro,75906,0.001954364197445102,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/subject_5seed/seed42/cnn_gyro/best.pt,42,128,64,subject,0.9816023738872404,0.9139724204489871,0.7272727272727273,0.9876543209876543,0.837696335078534,0.050971608079668655,7626,1618,1685,0.9969097651421508,0.9809451129749884,0.9428571428571428,0.9850746268656716,0.9635036496350365,0.040344919545871834
cnn,acc_gyro,76866,0.001962703281606082,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/subject_5seed/seed42/cnn_acc_gyro/best.pt,42,128,64,subject,0.997626112759644,0.9873275875035723,0.9529411764705882,1.0,0.9759036144578314,0.02182088200257157,7626,1618,1685,1.0,1.0,1.0,1.0,1.0,0.014276367643265554
gru,acc,38466,0.0024999360903166234,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/subject_5seed/seed42/gru_acc/best.pt,42,128,64,subject,0.9940652818991098,0.9686765711906249,0.9080459770114943,0.9753086419753086,0.9404761904761905,0.02817975757543401,7626,1618,1685,0.9981458590852905,0.988567067784993,0.9571428571428572,1.0,0.9781021897810219,0.010799016172932035
gru,gyro,38466,0.002502835777704604,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/subject_5seed/seed42/gru_gyro/best.pt,42,128,64,subject,0.9916913946587537,0.9561471996668749,0.8850574712643678,0.9506172839506173,0.9166666666666666,0.09816327445231135,7626,1618,1685,0.9975278121137207,0.9839714696121651,1.0,0.9402985074626866,0.9692307692307692,0.06987781221753882
