model,channels,params,inference_ms_per_window,checkpoint_path,seed,window_size,stride,split_mode,accuracy,macro_f1,transition_precision,transition_recall,transition_f1,loss,train_size,val_size,test_size,best_val_accuracy,best_val_macro_f1,best_val_transition_precision,best_val_transition_recall,best_val_transition_f1,best_val_loss
cnn,acc,75906,0.0019617580983322114,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed137/cnn_acc/best.pt,137,128,64,random,0.9932926829268293,0.9636465493441668,0.9135802469135802,0.9487179487179487,0.9308176100628931,0.069605436160161,7650,1639,1640,0.9920683343502136,0.9570354955728836,0.8902439024390244,0.948051948051948,0.9182389937106918,0.07360876844815178
cnn,gyro,75906,0.001974926381080877,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed137/cnn_gyro/best.pt,137,128,64,random,0.9957317073170732,0.9765862891103809,0.9493670886075949,0.9615384615384616,0.9554140127388535,0.056341811178660973,7650,1639,1640,0.9945088468578401,0.9683604985618408,0.9722222222222222,0.9090909090909091,0.9395973154362416,0.16172824999291388
cnn,acc_gyro,76866,0.00195979890122544,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed137/cnn_acc_gyro/best.pt,137,128,64,random,0.998780487804878,0.9933505785807539,0.975,1.0,0.9873417721518988,0.006568952820195657,7650,1639,1640,0.9981696156192801,0.9897160784313725,0.9868421052631579,0.974025974025974,0.9803921568627451,0.03867691378148933
gru,acc,38466,0.002499823458492756,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed137/gru_acc/best.pt,137,128,64,random,0.9975609756097561,0.9865392823139302,0.9743589743589743,0.9743589743589743,0.9743589743589743,0.05603337493702406,7650,1639,1640,0.9981696156192801,0.9895865321690807,1.0,0.961038961038961,0.9801324503311258,0.10183867672600348
gru,gyro,38466,0.002500364826119039,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed137/gru_gyro/best.pt,137,128,64,random,0.9963414634146341,0.9802884615384615,0.9390243902439024,0.9871794871794872,0.9625,0.03023395930280591,7650,1639,1640,0.9951189749847468,0.9724046199952857,0.96,0.935064935064935,0.9473684210526315,0.15987909107934684
gru,acc_gyro,39042,0.0024683231094968505,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed137/gru_acc_gyro/best.pt,137,128,64,random,0.9945121951219512,0.9706069193223661,0.9156626506024096,0.9743589743589743,0.9440993788819876,0.03873819465544529,7650,1639,1640,0.9945088468578401,0.968759596507242,0.9594594594594594,0.922077922077922,0.9403973509933775,0.16079074398076357
tcn,acc,220610,0.005755728452641051,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed137/tcn_acc/best.pt,137,128,64,random,0.9957317073170732,0.9762993548387097,0.961038961038961,0.9487179487179487,0.9548387096774194,0.10671741644647427,7650,1639,1640,0.9987797437461867,0.9931011549988213,1.0,0.974025974025974,0.9868421052631579,0.06948372246059711
tcn,gyro,220610,0.005755525016866159,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed137/tcn_gyro/best.pt,137,128,64,random,0.9981707317073171,0.9899655524758775,0.9746835443037974,0.9871794871794872,0.9808917197452229,0.015313845058823595,7650,1639,1640,0.9981696156192801,0.9895865321690807,1.0,0.961038961038961,0.9801324503311258,0.1071410387685685
tcn,acc_gyro,221378,0.005821935628773645,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed137/tcn_acc_gyro/best.pt,137,128,64,random,0.9969512195121951,0.9836705107346478,0.9397590361445783,1.0,0.968944099378882,0.008047991246552911,7650,1639,1640,0.9981696156192801,0.9895865321690807,1.0,0.961038961038961,0.9801324503311258,0.057327019093618425
transformer,acc,83842,0.0037375746978796087,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed137/transformer_acc/best.pt,137,128,64,random,0.9945121951219512,0.9695277419354839,0.948051948051948,0.9358974358974359,0.9419354838709677,0.0507148399051824,7650,1639,1640,0.9945088468578401,0.968759596507242,0.9594594594594594,0.922077922077922,0.9403973509933775,0.16483508552327444
